id,sentence,class
282,"9787, mail stop D17/03/0F2.",1
283,"If Customer sells or otherwise disposes of media owned by Customer on which the Software is fixed, such media must be erased before any sale or disposal.",1
284,"If Nephros does not notify Medica that one or more Cartridges do not meet the Specifications or otherwise fail to comply with this agreement, those Cartridges will be deemed to have been accepted by Nephros as being fully compliant with the Specifications and this agreement.",1
285,INFORMATION CONFIDENTIALITY The parties shall exchange all Information necessary in order to make possible and facilitate the development of the prototypes of the Terminal and the manufacture of the Terminals and shall keep strictly confidential all Information.,1
286,5.3 Yields: Medica product yields for Nephros Products shall be reported to Nephros Quality Assurance and R&D on a quarterly basis.,1
287,3.5 Delay in Delivery.,0
288,(b) Nephros has the power to execute and deliver this agreement and to perform its obligations under this agreement.,1
289,"All payments owed by Biopure to Producers shall be made directly by Biopure to such Producers; and MOPAC shall have no liability or responsibility with respect thereto or obligation therefor or under the agreements between Biopure and such Producers, in general.",1
290,&quot;Materials&quot; means Cigarette Materials and Tobacco Materials.,0
291,1.1:3 The recitals and schedules to this Agreement constitute an integral part of this Agreement.,0
292,6.3.,0
293,2 Changing in the Pricing Formula a) BEBIG and NOVOSTE agree to a new pricing formula that will take into account the time Seed Trains are used.,1
294,"In addition, DAS shall pay [******]: (a) [******] and (b) [******].",1
295,"However, Supplier will use reasonable efforts to correct any defects reported by Customer in writing or by verbal notification to Supplier following the date of shipment or installation, if installation was by Supplier, exclusive of defects caused by physical imperfections in Software discs due to mishandling, operator error or interfacing other systems that are not compatible with the operations of the Equipment.",1
296,"1.4 ""API REIMBURSEMENT VALUE"" means *** *** *** 1.5 ""APPLICABLE LAWS"" mean all laws, statutes, ordinances, codes, rules, regulations, guidelines, and procedures enacted or made by a Government Authority, including, without limitation, the FDA and any applicable Foreign Regulatory Authority, that are in force during the Term, and in each case only to the extent applicable to the subject matter of, or the performance by the Parties of their respective obligations under, this Agreement, including without limitation, in respect of Patheon and Santarus, the commercial manufacture of the Finished Product by Patheon and, in respect of Santarus only, the commercial marketing of the Finished Product in the United States by Santarus.",0
297,"The Project Plan, when mutually agreed to by the Parties, shall be set forth in writing and shall be executed by both Parties.",1
298,6.1.2 (a) Determination of Manufacturing Fee.,0
299,"If JANSSEN, its Affiliates or licensees sell any Presentation Form of the Final Product in the United States in such a manner that the * of the same is not readily identifiable then the * shall be whichever is the higher of (i) the fair market value of such Final Product or (ii) the proportion of the bundled price attributed to such Final Product by JANSSEN, its Affiliates or licensees whenever the Final Product is sold as o part of a package of products or services.",1
300,"Sisal shall directly order to EIS the supply of nineteen thousand eight hundred (19,800) Terminals and Autotote shall manufacture and make available such Terminals to Sisal, through EIS.",1
301,Supplier shall also bear all risk of loss or damage from the time the Equipment is removed from Company's site until the Equipment is returned to the site.,1
302,2.,0
303,3.2 Purchase Orders.,0
304,Such purchases orders shall be submitted to Supplier within a reasonable time prior to the time in which Customer will need to have the Equipment and Software operational.,1
305,e) All investigation reports shall be issued jointly and in a timely manner to satisfy the requirements for vigilance reporting (when necessary).,1
306,Reports to include individual data points if deemed necessary by the receiving Party.,0
307,"RECITALS: WHEREAS, JPI, JANSSEN US and ACT II have entered into the Agreement; and WHEREAS, the parties now wish to enter into this Amendment to clarify the terms for payment of the Manufacturing Fee as set forth in the Agreement by amending the terms and conditions of the Agreement as set forth below; NOW, THEREFORE, in consideration of the mutual promises contained herein and other good and valuable consideration, the receipt and sufficiency of which is hereby acknowledged, the parties agree as follows: 1.",0
308,6.5 3M shall allow SEPRACOR to perform a cGMP compliance audit promptly after signing of this Agreement on a date as agreed to by the parties.,1
309,"1.11 ""Supply Agreement"" means the supply agreement referred to in Article 8 below.",0
310,3.2.,0
311,"Supplier, or until acceptance by Buyer, if transportation is F.O.B.",0
312,"In addition, ASE shall, upon request, provide reliability and other data concerning such changes in sufficient detail to allow determination by Motorola as to (i) the effect of such changes on the Contract Products and (ii) whether requalification of the Contract Products by or for customers requiring process control is required.",1
313,"If the Indemnifying Party chooses to defend or prosecute any Third Party Claim, the Indemnified Party will agree to any settlement, compromise or discharge of that Third Party Claim that the Indemnifying Party recommends, except that the Indemnifying Party may not without the Indemnified Party's prior written consent agree to entry of any judgment or enter into any settlement that provides for injunctive or other nonmonetary relief affecting the Indemnified Party or that does not include as an unconditional term that each claimant or plaintiff give to the Indemnified Party a release from all liability with respect to that Third Party Claim.",1
314,"For the life of the Equipment listed in the Order for purchased Equipment, Supplier grants to Company and any subsequent purchaser of the Equipment a nonexclusive license to use, and have used therefor, Software on the Equipment on or for which it was delivered.",1
315,"c) For any SeedTrains delivered thereafter, the XXXXX period shall commence with the date of manufacture, as evidenced by the manufacturer's certificate, provided that: (1) BEBIG has delivered XXXXX SeedTrains, which pass NOVOSTE's specifications on P.O.",1
316,2.6 Sisal will provide Autotote with a copy of Sisal's agreement with EIS.,1
317,"Payment of invoice shall not constitute acceptance of the items ordered, and shall be subject to appropriate adjustment for failure of Supplier to meet the requirements of this order.",1
318,"MEMORANDUM OF UNDERSTANDING between DSM Fine Chemicals Netherlands B.V. Noorderpoort 9, 5900 AB Venlo, The Netherlands (hereinafter referred to as &quot;DSM&quot;) and Cubist Pharmaceuticals, Inc.. 24 Emily Street, Cambridge, MA 02139, USA (hereinafter referred to as &quot;CUBIST&quot;) CUBIST has a project to introduce a new pharmaceutical, which will consume DAPTOMYCIN, a lipopeptide antibiotic bulk drug substance.",0
319,"In each [******] period thereafter during the Term, DAS [******].",1
320,"1523 of the Italian Civil Code, in the Terminals ordered as per art.",0
321,5.5.,0
322,"Medica shall take all reasonable steps to prevent disclosure of Nephros 10 Confidential Information and not to use any Nephros Confidential Information, and Nephros shall take all reasonable steps to prevent disclosure of Medica Confidential Information and not to use any Medica Confidential Information, in either case except for the limited purposes set forth in this agreement.",1
323,The following statements outline the responsibilities for the handling and reporting of complaints and vigilance reportable incidents: a) All vigilance reports shall be communicated to Nephros Quality Assurance within 24 to 48 hours of evaluation and confirmation.,1
324,Novoste will provide Bebig with true and accurate information about the date of first clinical use.,1
325,"&quot;Style&quot; means a type of cigarette such as: (i) kings, or 100's, or (ii) filter or nonfilter, or (iii) menthol or nonmenthol, or (iv) a combination of any two or more of the foregoing with respect to any Brand.",0
326,12 Article 11 REPRESENTATIONS 11.1 Representations of Medica.,0
327,Article 10 PUBLICITY; CONFIDENTIALITY; INTELLECTUAL PROPERTY 10.1 Publicity.,0
328,Site means each Company location where Company requests pursuant to an accepted Order for installation and use of System.,0
329,I.4 Force Majeure.,0
330,"(b) Medica shall send to Nephros for its approval at least 30 Business Days before it is filed or submitted any publication, abstract, or patent application resulting from this agreement.",1
331,Purchase Price.,0
332,"MANUFACTURING SERVICES AGREEMENT This Manufacturing Services Agreement (the ""AGREEMENT"") is entered into on July 3, 1999 by and between Motorola, Inc., with offices at 3501 Ed Bluestein Blvd., Austin, Texas 78762 and at 6501 William Cannon Drive West, Austin, Texas 78735, (""MOTOROLA""), Advanced Semiconductor Engineering, Inc., with offices at Room 1901, Taiwan World Trade Center International Bldg., 19th Floor, No.",0
333,"If after consideration by the Joint Review Committee the parties are unable to reach agreement within 45 Calendar Days after the date Medica received notice from Nephros under Section 4.2, they shall submit the dispute to arbitration in accordance with Section 14.5.",1
334,"335a(k) (Section 306, Federal Food, Drug and Cosmetic Act).",0
335,"In the event there is inadequate [******] raw material with which to manufacture all of the Product forecasted or ordered by DAS, Eon shall immediately notify DAS of the shortfall and allocate the available supply between DAS and Eon prorata based upon each Party's sales of Product over the immediately preceding three (3) month period.",1
336,The aforementioned installments are to be paid free of charge to the account no.,1
337,"For purposes of the previous sentence, MOPAC's best efforts shall consist of MOPAC seeking out Producers who will negotiate with Biopure for participation in the Program; and introducing Biopure to such Producers; but MOPAC shall have no further obligations with respect thereto.",1
338,"INTERNATIONAL AERO ENGINES [LETTERHEAD] May 4, 1999 Mr. David G. Neeleman New Air Corporation 6322 South 3000 East Suite L201 Salt Lake City, Utah 84121 Subject: Side Letter No.",0
339,"Unless sooner terminated pursuant to the provisions of the second sentence of this paragraph 10, this letter agreement shall continue for seven years from date of the closing under the APA, and shall automatically renew for successive one year terms (each such one year term, a ""Renewal Term""), unless one party delivers to the other party notice of nonrenewal at least 180 days prior to the expiration any Renewal Term.",1
340,"All preprinted terms and conditions contained in the blanket purchase orders, including the aggregate purchase prices, are superceded by the terms and conditions of this Agreement and the Supplements hereto.",0
341,"1.10 ""COMMENCEMENT OF COMMERCIAL MANUFACTURING"" means the date on which Patheon commences to manufacture commercial quantities of Finished Product pursuant to the first Firm Purchase Order submitted by Santarus under Section 2.2.3.",0
342,7.2 Permits and Certifications.,0
343,All Marks shall remain the property of Motorola.,1
344,Medica shall discuss with Nephros any Proposed Response and shall incorporate in that Proposed Response any reasonable comments provided by Nephros with respect to that Proposed Response.,1
345,DAS shall deliver to Eon on a quarterly basis during the Term a nonbinding forecast of DAS quantity requirements for Product for the following twelve (12) month period.,1
346,7.4 Insurance.,0
347,"The parties agree that MOPAC's total expenditures for materials and services of third parties for the Spur Facility shall not exceed $250,000; Biopure shall promptly pay or reimburse MOPAC for the payment of any excess over $250,000.",1
348,"Eon will, through its usual and customary sources and subject to DAS's prior written approval given on a casebycase basis and at DAS's cost, order appropriate tooling that meets DAS's specifications for use in the production of the Product (the ""TOOLING""), provided that such specifications comply with the requirements of the Product ANDA.",1
349,8.,0
350,The term of the WalMart Agreement is for a period of 5 years commencing on October 2001 and ending on October 2006.,0
351,Pricing and Payment.,0
352,"Licensed Net Selling Price and/or the ROW Licensed Net Selling Price, as applicable, for each Presentation Form of the Final Product in accordance with the mechanism set forth in Article 6.",0
353,Only with Medica's written consent may Nephros order for delivery in any given Quarter an aggregate number of Cartridges exceeding 110% of the Final Forecast Quantity.,1
354,"Customer shall have full responsibility for payment for all raw materials, ingredients, and packaging materials (collectively ""Product Supplies""), provided by Customer, except miscellaneous ingredients and materials (""collectively Miscellaneous Supplies"") which shall be supplied by Contractor and which are necessary to produce and package Product for Customer under this Agreement, the costs of which are included in the Contractor's pack fee.",1
355,Notwithstanding what is provided in this art.,0
356,"Biopure shall provide all technical support to assure the compliance of the Spur Facility with such plans and specifications and with applicable laws, rules, regulations or other governmental requirements (&quot;Requirements of Law&quot;).",1
357,"If prices and/or delivery dates are not so stated, Supplier shall offer its lowest prices or best delivery dates then prevailing for the same goods containing the same database content, scope and coverage and, upon written acceptance by Buyer such prices and delivery dates shall be deemed to have the same force and effect as if initially specified on this order.",1
358,"The price and other terms for Footwear's purchase of products shall be commercially reasonable, taking into account price, other market terms then prevailing and Footwear's good faith requirements.",1
359,"Autotote retains a right of property, as provided in art.",1
360,"Footwear products for which Manufacturer meets Footwear's good faith requirements as to price, quality and delivery are referred to as ""Qualified Products.""",0
361,"If Medica accepts that Nephros was entitled to reject that Cartridge, Medica shall within 14 Calendar Days after Medica receives notice under Section 4.2 replace the Nonconforming Cartridge at no additional cost to Nephros (if Nephros has paid for the 4 Nonconforming Cartridge and Medica has not reimbursed Nephros the purchase price) or for payment consistent with Section 3.7 (if Nephros has not paid for the Nonconforming Cartridge or if Medica has reimbursed Nephros the purchase price).",1
362,3.1.1.,0
363,"b) all intangible assets which are required for the production of SeedTrains and (i) are listed in Exhibit 2.1 b to this contract or (ii) will be acquired by BEBIG during the duration of the Framework Agreement (hereinafter referred to as the ""Security Collateral B"").",1
364,"In addition to its right to terminate pursuant to Subparagraph (B) of Paragraph 11 (Termination), Buyer may require Supplier, at Supplier's sole cost and expense, to ship any of the items covered by this order by air or railway express or by such other means as may be designated by Buyer if Supplier fails to meet the specified delivery schedule.",1
365,The weekly Orders shall be issued to B&amp;W at least two weeks prior to the week shipment is requested.,1
366,Intellectual property rights to any such modification or addition to the Software shall remain in the entity which creates the modification or addition.,1
367,(2) The sum of returned trains for any given year is not larger than the sum of new trains shipped out during that period.,1
368,"NOVOSTE produces medical devices and has developed a catheter for the inhibition and prevention of restenosis of a blood vessel after interventional therapy (hereinafter referred to as ""Restenosis Device"").",0
369,"In case of nonacceptance of said prototype, Autotote shall be allowed to remedy the defects within 10 days from the notification of Sisal and Sisal shall check if the prototype, after the remedy, is acceptable within 10 days from the delivery of the mended working protype.",1
370,"(a) Medica shall indemnify Nephros, each Affiliate of Nephros, each Representative of Nephros, and the heirs, executors, successors, and assigns of any of the foregoing, against the following Indemnifiable Losses: (1) Indemnifiable Losses arising out of breach by Medica of any of its obligations under this agreement; (2) Indemnifiable Losses arising out of any inaccuracy in any representations of Medica contained in this agreement; (3) Indemnifiable Losses arising out of any claim that any Intellectual Property of Medica employed by Medica under this agreement conflicts with the Intellectual Property Rights of any other Person; and (4) Indemnifiable Losses arising out of any Cartridges that have been manufactured by Medica under this agreement, on condition that those Indemnifiable Losses are due to breach by Medica of any of its obligations under this agreement or the negligence or willful misconduct of Medica or any of its agents or Representatives.",1
371,INTERPRETATION AND DEFINITIONS 1.1 The terms defined in this Article 1 shall for all purposes in this Agreement have the meanings specified in this Article 1.,1
372,(b) Biopure will provide annual estimates in advance for its Material needs for each 12month period this Agreement is in effect and revise the annual estimates approximately quarterly for the unexpired portion of the year.,1
373,3 provides for the firming up of certain of the Option Aircraft under the Contract and reflects the corporate name change of New Air to JetBlue Airways Corporation.,0
374,"Eon agrees to manufacture and supply DAS such Lot Quantities of Product as DAS may order pursuant to and in accordance with this Agreement, for DAS's use, distribution and sale; PROVIDED, HOWEVER, that DAS may only distribute and sell Product to customers located in the Territory.",1
375,"""SUPPLEMENT"" means a written appendix to this Agreement, as amended from time to time pursuant to Subsection 16(B) hereof, which is agreed to by the Parties as indicated by their signatures thereon.",0
376,"If DAS rejects any Product and if the Parties have not agreed mutually on a remedy, the Parties shall timely consult with each other and attempt to resolve the discrepancies.",1
377,Medica represents to Nephros as follows: (a) Medica is a corporation validly existing under the laws of its jurisdiction of organization with the power to own all of its properties and assets and to carry on its business as it is currently being conducted.,0
378,The weekly total quantity of Note: Redacted portions have been marked with [***].,0
379,"Customer shall not make any copies of the Software, except as authorized in writing by Supplier.",1
380,(b) Eon shall package and label the Product in accordance with the Packaging Specifications and the Product ANDA.,1
381,Medica shall store no less than two Nephros product samples from each sterilization lot for the purpose of potential clinical or regulatory investigations.,1
382,"Nephros shall supply to Medica, for use by Medica in performing its obligations under this agreement, the equipment listed in Schedule 5.6.",1
383,DAS may specify any proportion of [******] and [******] in a Purchase Order.,1
384,"1 of the Framework Agreement shall be revised as follows: ""ss.",1
385,Sisal shall pay as the price for the supply of the 200 preproduction Terminals ordered as per art.,1
386,"The term ""recall"" also applies to Cartridge that would have been subject to recall if it had been sold or shipped.",0
387,"1.4 ""Derivative"" means: (a) for copyrightable or copyrighted material, any translation, abridgment, revision or other form in which an existing work may be recast, transformed or adapted; (b) for patentable or patented material, any improvement thereon; and (c) for material which is protected by trade secret, any new material derived from such existing trade secret material, including new material which may be protected under copyright, patent and/or trade secret laws.",0
388,"In respect of Qualified Products, the parties recognize that Footwear may secure alternative second source suppliers on a commercially prudent basis.",1
389,"For example, Footwear may protect against natural disaster and political risks and overconcentration in manufacturing activities with Manufacturer in respect to a specific footwear style.",1
390,Definitions.,0
391,A certificate of such insurance coverage shall be furnished to Customer upon request.,1
392,"During the Term, [******] and [******]; provided, however, [******] (and only under) [******].",0
393,"1.4 ""Authority"" means a governmental agency, in a country or territory in which SEPRACOR proposes to sell Product, responsible for granting licences and/or approvals permitting the sale of the Product, in such country or territory.",0
394,Nephros will create a European business location holding a V.A.T.,1
395,ARTICLE II SALE AND PURCHASE OF PRODUCT 2.1 SALE AND PURCHASE.,0
396,"All capitalized terms used but not otherwise defined herein shall have the same meanings as are ascribed thereto in the SPA or the IRA, as indicated below.",1
397,ASE agrees to comply with the requested shipment dates unless it advises Motorola otherwise within seven (7) calendar days following its receipt of the actual orders.,1
398,"Company and any subsequent purchaser may add to, delete from or modify the Software to extent that modifications do not alter source code, in any manner, but no changes, however extensive, shall alter Supplier's intellectual property rights to such delivered Software.",1
399,"Information means any idea, data, program, technical, business or other intangible information, however conveyed.",0
400,Article 12 INDEMNIFICATION 12.1 Indemnification.,0
401,"""SPECIFICATIONS"" means the technical specifications provided by Motorola for each of the Contract Products.",0
402,"Eon shall, at its cost, validate, use and maintain the Tooling 2 in accordance with its current standard operating procedures.",1
403,"In connection with our purchase of the assets of Converse, Inc. and your purchase of certain of our capital stock pursuant to the SPA, we have agreed to provide certain footwear product sourcing rights as set forth below, and accordingly, the parties acknowledge and agree as follows: 1.For valuable consideration, the receipt and sufficiency of which is hereby acknowledged, the parties agree to amend the Purchase Agreement as follows: 1.",1
404,B. SEPRACOR wishes 3M to scaleup an aerosol product that SEPRACOR has developed containing nonCFC propellants and a SEPRACOR proprietary compound known as levalbuterol tartrate which SEPRACOR wishes to market for inhalation therapy.,0
405,Any Compound and SEPRACOR Components unused by 3M at the termination of the Scaleup Program shall be returned upon request to SEPRACOR.,1
406,RETURN OF MATERIALS Supplier shall accept for credit Materials returned under any of the following circumstances: 12 1.,1
407,"Any publication resulting from this agreement will be delayed or prohibited if, in Nephros' reasonable opinion, delay or prohibition is required in order to file or procure patent application or rights protection in respect of any invention or discovery arising from this agreement.",1
408,"Provided, however, that neither the forgoing, the information provided pursuant to Section 6.3 nor anything else in this Agreement shall be construed as a warranty by 3M that any DMF or other regulatory dossier will be approved by any Authority.",1
409,At the end of the XXXXX period NOVOSTE has one month time to test each train and either (1) return it to BEBIG for recycling or (2) XXXXX.,1
410,Provisions Applicable To Maintenance Services For Equipment 2430 V. General Provisions Applicable To Entire Agreement 3147 Signature Page 48 Attachment A Pricing 4950 Attachment B Worldwide Clarent Care 5160 Premium Support Offerings Attachment C Escrow Agreement 6172 Attachment D Acceptance Test Process 7379 Attachment E Site Preparation Specifications 8082 Attachment F Site Specific Term Sheet 8389 2 TABLE OF CONTENTS ARTICLE DESCRIPTION PAGE I. Definitions Applicable To The Entire Agreement 79 II.,0
411,"Patheon and Santarus are sometimes referred to herein individually as a ""PARTY"" and collectively as the ""PARTIES.""",0
412,Changes which would increase Contractor's cost must be mutually agreed to in writing by a duly authorized officer of Customer and Contractor.,1
413,"Any party who so discloses any Confidential Information pursuant to this Section 10.2(b) shall (1) inform those Persons of the confidential nature of that Confidential Information, and (2) direct those Persons to keep that Confidential Information confidential.",1
414,Supplier means the other party to this Agreement with Company to whom an Order is issued under this Agreement.,0
415,Payment/Financing.,0
416,"To the extent Footwear does not purchase its requirement for NonQualified Products from Manufacturer after Manufacturer has requested an opportunity to do so, Footwear shall deliver a good faith written notification to Manufacturer of the basis for such decision.",1
417,"Specifications means the specifications for the Equipment and Software as set forth in this Agreement and in the mutually agreed upon Order, or if not so set forth, shall mean Supplier's current published specifications, user documentation, and other information for the Equipment and Software as of the date of the Order and any additional mutually agreed to specifications furnished by Company.",1
418,"13 (c) Nephros' board of directors has duly authorized Nephros to execute and deliver this agreement and perform its obligations under this agreement, and no other corporate proceedings of Nephros are necessary with respect thereto.",1
419,"In no event, however, shall Footwear purchase 50% or more of its footwear requirements for Qualified Products from any such second source.",1
420,3.4 The Parties may by written agreement amend the Scaleup Program.,1
421,"4.a) In August 1997, BEBIG started building a new automated seed production line.",0
422,"(F) ASE shall use all Bailed Property solely for the performance of the Work, in a careful and proper manner and in compliance with all applicable laws, rules and regulations relating to the possession and use of the Bailed Property.",1
423,"V2500 ENGINE AND PARTS SERVICE POLICY 1.1 In respect of Engines originally installed on the Aircraft (other than on Leased Aircraft) and in respect of the spare Engines, IAE hereby amends the duration of coverage provided in the V2500 Engine and Parts Service Policy set forth in Exhibit D1, Section I, Paragraphs A and B to the Contract, as follows: New Air shall be entitled to first run coverage for [****] hours or [****] cycles of engine operation, whichever comes first.",1
424,"A complete list of the Equipment or Materials to be purchased specifying quantity, type, model, feature description and purchase price to be paid (net of purchase option credit if applicable) and the invoice address; 4.",0
425,"Biopure shall not be obligated to purchase any minimum quantity of Material, 4 6 except as set forth on Exhibit I.3 (for years 1 through 4).",1
426,"D. 3M is willing to conduct the scaleup subject to the terms of this Agreement, with the understanding that there is no guarantee that the program will be successful or that 3M will ultimately supply marketable product.",0
427,Medica will also be given first consideration in good faith for the manufacture of Cartridges not directly marketed by Nephros.,1
428,Contractor's total price for all services rendered hereunder is set forth in Exhibit I.,0
429,II.,0
430,To compensate the activity of Autotote provided by art.,0
431,3M shall provide quarterly reports to SEPRACOR on the progress of the Scaleup Program and shall promptly notify SEPRACOR of any event that requires a decision by SEPRACOR or will have a serious effect on the progress of the Scaleup Program.,1
432,"If there occurs any Cartridge recall that is due to Medica having manufactured one or more Cartridges that fail to conform to the Specifications or that were not manufactured in accordance with any applicable Laws, Medica will be responsible for the costs of that recall, Medica shall promptly, at the election of Nephros, compensate Nephros for the Cartridge so recalled by either replacing without charge Cartridges recalled or refunding Nephros the price paid by Nephros to Medica for the Cartridges recalled, plus freight, insurance, sales taxes, and other duties, fees, and expenses paid by Nephros.",1
433,A draft Third Line Plan including a project budget and project timeline is set forth in Exhibit A to this Amendment.,0
434,"Equipment means Internet Protocol Telephony and similar equipment, and also includes options, accessories and attachments for additional Supplier's equipment.",0
435,"Supplier and its licensers are, and shall remain, the owners of the NavTech Database and any software contained in the goods delivered by Supplier hereunder, including any and all intellectual property rights with respect thereto.",1
436,AD STATUS IAE agrees to provide to New Air with its Engine turnover documents a complete listing of FAA issued Airworthiness Directives (ADs) relevant to V2500 engines.,1
437,"Modifications, alterations or repairs made other than by Supplier or original Equipment manufacturers; c. Customer's mishandling, abuse, misuse, negligence, or improper storage, servicing or operation of the Equipment (including without limitation use of equipment that is not designed or suitable for use in conjunction with the Equipment purchased from Supplier); d. Power failures, surges, fire, flood, accident, actions of third parties or other like events outside Supplier's control.",0
438,"ASE shall adopt Motorola's Demand Driven Production Requirements (DDPR) system for piece part forecasting and, unless otherwise mutually agreed, ASE shall adopt Motorola's Contract House Accounts Payable System (CHAPS) for inventory accounting and payment.",1
439,Invoices are due and payable in full within fifteen (15) days from the date of the invoice.,1
440,"Contractor shall maintain and retain complete and accurate books and records relating to the production, packaging, storage and shipment of Product Supplies and Product, rejected Product Supplies and rejected Product.",1
441,"(B) Using the * Forecasts, ASE will provide sufficient capacity for * of the Work specified for each month.",1
442,"3M shall, unless otherwise agreed, be responsible for testing raw materials and components, other than Compound and SEPRACOR Components, in accordance with 3M written specifications.",1
443,*** Portions of this page have been omitted pursuant to a request for Confidential Treatment and filed separately with the Commission.,0
444,"[IBM LOGO] 3039 Cornwallis Road RTP, NC 27709 May 14, 2004 Brocade Communications Systems, Inc. 1745 Technology Drive San Jose, CA 95110 Attention: Mr. Michael Harrison Subject: Amendment 16 to SOW#1 of the IBM/Brocade Goods Agreement ROCP68 Dear Michael: This letter (the ""Amendment"") serves as Amendment Number 16 to SOW#1, including all amendments thereto (""SOW#1"") of the Goods Agreement ROCP68, which the parties hereto do mutually agree to amend as follows: 1.",0
445,Such personnel shall be employees or contractors of Biopure.,1
446,"(b) DAS shall be entitled to a refund of the purchase price (together with freight charges) of properly rejected Product at the time it is ultimately rejected by DAS, provided that if Eon disputes the rejection, refund shall be made, if at all, at the time the dispute is finally resolved as set forth in Article IV.",1
447,No party hereto or to any such agreement or instrument shall raise the use of a facsimile machine to deliver a signature or the fact that any signature or agreement or instrument was transmitted or communicated through the use of a facsimile machine as a defense to the formation or enforceability of a contract and each such party forever waives any such defense.,1
448,"(a) All purchases of Product hereunder shall be made by Purchase Orders, and shall be subject to the terms of this Agreement.",1
449,"Any modifications to the draft Third Line Plan affecting the anticipated timelines, scope or budget thereof shall only become effective with the consent of both ACT II and JANSSEN, which consent shall not be unreasonably withheld or delayed.",1
450,Extended first run coverage will be provided from [****] hours or [****] cycles of engine operation (whichever comes first) to [****] hours or [****] cycles of engine operation (whichever comes first) on a prorata basis.,1
451,"6.8 3M acknowledges that SEPRACOR has filed an IND under which Licensed Product will be tested and developed, and that SEPRACOR will be required to make regulatory commitments to FDA with respect to the development of Licensed Product.",1
452,"1, all provisions of the Contract remain in full force and effect.",0
453,Contractor's Facility to Customer or a Customer consignee in accordance with the terms and conditions of this Agreement.,0
454,5 6 (B) Motorola may change any specifications or requirements by providing written notice to ASE.,1
455,ARTICLE IV PRICE AND PAYMENTS 4.1 PRICE/PAYMENTS.,0
456,"1.5(b) ""ROW Licensed Net Selling Price"" shall mean the * offered by JANSSEN, its Affiliates or licensees in a given calendar year (or such shorter period as may be applicable) to independent third parties for each Presentation Form of the Final Product for sale in the Territory (other than the United States, its territories and possessions), less deductions for (i) trade, cash and ordinary business discounts allowed; (ii) allowances or credits to customers on account of rejection or return of Final Product; and (iii) managed care rebates or allowances and mandatory price allowances imposed by governments.",1
457,"1 2 &quot;Brands&quot; means the individual brandnames of cigarettes marketed and sold by Star, or its subsidiaries, under trademarks owned by or licensed to Star, or its subsidiaries, which Star elects to have B&amp;W manufacture and package for Star pursuant to the terms of this Agreement.",0
458,The copy filed herewith omits the information subject to the confidentiality request.,0
459,"Such substances, as currently being tested and as may hereafter be approved for commercial sale, together with modifications and improvements, are hereinafter referred to as &quot;Product.&quot; MOPAC is in the business, among other things, of beef packing.",0
460,2 provides for certain product support as part of the Contract.,0
461,"If for any reason other than an Event of Force Majeure Medica (1) fails to replace any Nonconforming Cartridge as required by Section 4.3 or (2) fails to replace any Nonconforming Cartridge within 10 Business Days after a dispute regarding whether any rejected quantity of Cartridge constitutes Nonconforming Cartridge is decided in Nephros's favor, then, in addition to any other remedies it might have under this agreement or by law, Nephros may cancel that purchase order or the portion thereof relating to those cartridges, as applicable, and those Cartridges will constitute Default Cartridges for purposes of Section 1.3.",1
462,"For cigarettes to be delivered after December 31, 2000, Star will provide B&amp;W by November 1 of the preceding year with a 12month forecast breaking down its Firm Commitment under Paragraph 3 by Style and Brand, and pricing for the ensuing 12month period will be determined by B&amp;W on an annual basis and appended hereto as Appendix B based upon changes in stock availability, market conditions, buying expense, anticipated processing yields, and other manufacturing costs.",1
463,Customer means someone who obtains the System through AT&amp;T and is a user of that System under a License from the Supplier.,0
464,"(b) Intellectual Property, whether or not patentable, that arises in connection with this agreement and is made solely by an employee or agent of Nephros and without reference to any Confidential Information or Intellectual Property disclosed by Medica will be owned by Nephros (that Intellectual Property, ""Nephros Inventions"").",1
465,"ASE shall commence performing services for Motorola on the date hereof, and shall complete the services within the time and monetary limitations specified from time to time by Motorola pursuant to the terms hereof.",1
466,2.5.,0
467,Nephros is only required to pay for Cartridges actually delivered.,1
468,"(D) The Parties shall plan and schedule, at a minimum, semiannual business reviews.",1
